Source,Target,Type,timeset
1,2,Undirected,
1,5,Undirected,
1,6,Undirected,
1,7,Undirected,
1,8,Undirected,
1,9,Undirected,
1,10,Undirected,
1,11,Undirected,
1,19,Undirected,
1,26,Undirected,
1,33,Undirected,
1,35,Undirected,
1,49,Undirected,
1,53,Undirected,
1,60,Undirected,
1,63,Undirected,
1,64,Undirected,
1,74,Undirected,
1,80,Undirected,
1,82,Undirected,
1,86,Undirected,
1,88,Undirected,
1,102,Undirected,
1,104,Undirected,
1,109,Undirected,
1,111,Undirected,
1,112,Undirected,
1,132,Undirected,
1,133,Undirected,
1,138,Undirected,
1,139,Undirected,
1,143,Undirected,
1,147,Undirected,
1,148,Undirected,
1,150,Undirected,
1,152,Undirected,
1,154,Undirected,
1,155,Undirected,
1,157,Undirected,
1,160,Undirected,
1,164,Undirected,
2,5,Undirected,
2,6,Undirected,
2,7,Undirected,
2,8,Undirected,
2,12,Undirected,
2,15,Undirected,
2,16,Undirected,
2,30,Undirected,
2,33,Undirected,
2,46,Undirected,
2,49,Undirected,
2,53,Undirected,
2,54,Undirected,
2,55,Undirected,
2,56,Undirected,
2,62,Undirected,
2,63,Undirected,
2,64,Undirected,
2,66,Undirected,
2,71,Undirected,
2,75,Undirected,
2,80,Undirected,
2,81,Undirected,
2,82,Undirected,
2,83,Undirected,
2,84,Undirected,
2,85,Undirected,
2,86,Undirected,
2,87,Undirected,
2,90,Undirected,
2,91,Undirected,
2,99,Undirected,
2,100,Undirected,
2,101,Undirected,
2,102,Undirected,
2,103,Undirected,
2,113,Undirected,
2,117,Undirected,
2,118,Undirected,
2,133,Undirected,
2,141,Undirected,
2,142,Undirected,
2,144,Undirected,
2,147,Undirected,
2,148,Undirected,
2,150,Undirected,
2,151,Undirected,
2,152,Undirected,
2,155,Undirected,
2,157,Undirected,
3,4,Undirected,
3,7,Undirected,
3,9,Undirected,
3,10,Undirected,
3,11,Undirected,
3,12,Undirected,
3,13,Undirected,
3,16,Undirected,
3,19,Undirected,
3,23,Undirected,
3,25,Undirected,
3,32,Undirected,
3,33,Undirected,
3,37,Undirected,
3,38,Undirected,
3,40,Undirected,
3,42,Undirected,
3,43,Undirected,
3,45,Undirected,
3,46,Undirected,
3,47,Undirected,
3,48,Undirected,
3,55,Undirected,
3,60,Undirected,
3,61,Undirected,
3,63,Undirected,
3,64,Undirected,
3,65,Undirected,
3,67,Undirected,
3,70,Undirected,
3,71,Undirected,
3,72,Undirected,
3,73,Undirected,
3,76,Undirected,
3,77,Undirected,
3,78,Undirected,
3,79,Undirected,
3,80,Undirected,
3,81,Undirected,
3,82,Undirected,
3,83,Undirected,
3,84,Undirected,
3,85,Undirected,
3,88,Undirected,
3,90,Undirected,
3,91,Undirected,
3,94,Undirected,
3,96,Undirected,
3,97,Undirected,
3,98,Undirected,
3,105,Undirected,
3,106,Undirected,
3,108,Undirected,
3,113,Undirected,
3,114,Undirected,
3,115,Undirected,
3,117,Undirected,
3,121,Undirected,
3,122,Undirected,
3,127,Undirected,
3,134,Undirected,
3,137,Undirected,
3,138,Undirected,
3,139,Undirected,
3,140,Undirected,
3,141,Undirected,
3,142,Undirected,
3,143,Undirected,
3,145,Undirected,
3,146,Undirected,
3,149,Undirected,
3,150,Undirected,
3,152,Undirected,
3,156,Undirected,
3,157,Undirected,
3,159,Undirected,
3,160,Undirected,
3,161,Undirected,
3,164,Undirected,
4,5,Undirected,
4,6,Undirected,
4,7,Undirected,
4,10,Undirected,
4,12,Undirected,
4,13,Undirected,
4,16,Undirected,
4,20,Undirected,
4,21,Undirected,
4,23,Undirected,
4,25,Undirected,
4,33,Undirected,
4,37,Undirected,
4,38,Undirected,
4,40,Undirected,
4,43,Undirected,
4,47,Undirected,
4,48,Undirected,
4,50,Undirected,
4,55,Undirected,
4,60,Undirected,
4,61,Undirected,
4,64,Undirected,
4,65,Undirected,
4,66,Undirected,
4,67,Undirected,
4,69,Undirected,
4,70,Undirected,
4,71,Undirected,
4,72,Undirected,
4,73,Undirected,
4,74,Undirected,
4,75,Undirected,
4,76,Undirected,
4,77,Undirected,
4,78,Undirected,
4,79,Undirected,
4,80,Undirected,
4,81,Undirected,
4,83,Undirected,
4,85,Undirected,
4,87,Undirected,
4,96,Undirected,
4,97,Undirected,
4,98,Undirected,
4,99,Undirected,
4,100,Undirected,
4,105,Undirected,
4,108,Undirected,
4,114,Undirected,
4,115,Undirected,
4,116,Undirected,
4,117,Undirected,
4,120,Undirected,
4,121,Undirected,
4,122,Undirected,
