Source,Target,Type,timeset
1,2,Undirected,
1,5,Undirected,
1,6,Undirected,
1,7,Undirected,
1,8,Undirected,
1,15,Undirected,
1,19,Undirected,
1,24,Undirected,
1,25,Undirected,
1,26,Undirected,
1,27,Undirected,
1,28,Undirected,
1,29,Undirected,
1,30,Undirected,
1,31,Undirected,
1,32,Undirected,
1,33,Undirected,
1,34,Undirected,
1,37,Undirected,
1,38,Undirected,
1,44,Undirected,
1,45,Undirected,
1,46,Undirected,
1,48,Undirected,
1,59,Undirected,
1,62,Undirected,
1,63,Undirected,
1,68,Undirected,
1,69,Undirected,
1,70,Undirected,
1,71,Undirected,
1,73,Undirected,
1,74,Undirected,
1,75,Undirected,
1,89,Undirected,
1,90,Undirected,
1,91,Undirected,
1,95,Undirected,
1,98,Undirected,
1,100,Undirected,
1,102,Undirected,
1,108,Undirected,
1,109,Undirected,
1,124,Undirected,
1,127,Undirected,
1,129,Undirected,
1,131,Undirected,
1,134,Undirected,
1,139,Undirected,
1,141,Undirected,
1,142,Undirected,
1,143,Undirected,
1,147,Undirected,
1,148,Undirected,
1,152,Undirected,
1,153,Undirected,
1,155,Undirected,
1,157,Undirected,
1,161,Undirected,
1,164,Undirected,
2,6,Undirected,
2,7,Undirected,
2,8,Undirected,
2,11,Undirected,
2,13,Undirected,
2,14,Undirected,
2,15,Undirected,
2,19,Undirected,
2,22,Undirected,
2,23,Undirected,
2,24,Undirected,
2,25,Undirected,
2,27,Undirected,
2,28,Undirected,
2,29,Undirected,
2,30,Undirected,
2,31,Undirected,
2,32,Undirected,
2,33,Undirected,
2,34,Undirected,
2,37,Undirected,
2,44,Undirected,
2,45,Undirected,
2,46,Undirected,
2,48,Undirected,
2,50,Undirected,
2,51,Undirected,
2,54,Undirected,
2,62,Undirected,
2,63,Undirected,
2,68,Undirected,
2,69,Undirected,
2,70,Undirected,
2,71,Undirected,
2,73,Undirected,
2,74,Undirected,
2,75,Undirected,
2,87,Undirected,
2,89,Undirected,
2,90,Undirected,
2,91,Undirected,
2,95,Undirected,
2,98,Undirected,
2,100,Undirected,
2,102,Undirected,
2,108,Undirected,
2,109,Undirected,
2,124,Undirected,
2,127,Undirected,
2,128,Undirected,
2,129,Undirected,
2,131,Undirected,
2,134,Undirected,
2,139,Undirected,
2,141,Undirected,
2,142,Undirected,
2,143,Undirected,
2,144,Undirected,
2,147,Undirected,
2,148,Undirected,
2,151,Undirected,
2,152,Undirected,
2,155,Undirected,
2,157,Undirected,
2,159,Undirected,
2,164,Undirected,
3,4,Undirected,
3,5,Undirected,
3,6,Undirected,
3,15,Undirected,
3,16,Undirected,
3,17,Undirected,
3,19,Undirected,
3,20,Undirected,
3,24,Undirected,
3,25,Undirected,
3,27,Undirected,
3,32,Undirected,
3,39,Undirected,
3,42,Undirected,
3,43,Undirected,
3,44,Undirected,
3,47,Undirected,
3,48,Undirected,
3,49,Undirected,
3,52,Undirected,
3,53,Undirected,
3,54,Undirected,
3,58,Undirected,
3,62,Undirected,
3,63,Undirected,
3,69,Undirected,
3,71,Undirected,
3,76,Undirected,
3,77,Undirected,
3,78,Undirected,
3,79,Undirected,
3,80,Undirected,
3,81,Undirected,
3,82,Undirected,
3,83,Undirected,
3,84,Undirected,
3,85,Undirected,
3,86,Undirected,
3,87,Undirected,
3,88,Undirected,
3,89,Undirected,
3,96,Undirected,
3,97,Undirected,
3,101,Undirected,
3,102,Undirected,
3,103,Undirected,
3,104,Undirected,
3,107,Undirected,
3,108,Undirected,
3,110,Undirected,
3,116,Undirected,
3,121,Undirected,
3,122,Undirected,
3,124,Undirected,
3,125,Undirected,
3,128,Undirected,
3,129,Undirected,
3,131,Undirected,
3,133,Undirected,
3,135,Undirected,
3,138,Undirected,
3,142,Undirected,
3,145,Undirected,
3,146,Undirected,
3,150,Undirected,
3,156,Undirected,
3,162,Undirected,
3,163,Undirected,
3,164,Undirected,
4,5,Undirected,
4,6,Undirected,
4,15,Undirected,
4,16,Undirected,
4,19,Undirected,
4,20,Undirected,
4,25,Undirected,
4,27,Undirected,
4,28,Undirected,
4,32,Undirected,
4,43,Undirected,
4,44,Undirected,
4,49,Undirected,
4,52,Undirected,
4,53,Undirected,
4,62,Undirected,
4,63,Undirected,
4,68,Undirected,
4,69,Undirected,
4,70,Undirected,
4,71,Undirected,
4,77,Undirected,
4,78,Undirected,
4,79,Undirected,
4,80,Undirected,
4,81,Undirected,
4,82,Undirected,
4,83,Undirected,
4,84,Undirected,
4,85,Undirected,
4,86,Undirected,
