Source,Target,Type,timeset
1,2,Undirected,
1,14,Undirected,
1,19,Undirected,
1,28,Undirected,
1,29,Undirected,
1,30,Undirected,
1,37,Undirected,
1,44,Undirected,
1,45,Undirected,
1,59,Undirected,
1,61,Undirected,
1,63,Undirected,
1,70,Undirected,
1,78,Undirected,
1,86,Undirected,
1,89,Undirected,
1,90,Undirected,
1,91,Undirected,
1,104,Undirected,
1,109,Undirected,
1,121,Undirected,
1,131,Undirected,
1,134,Undirected,
1,141,Undirected,
1,142,Undirected,
1,143,Undirected,
1,148,Undirected,
1,157,Undirected,
2,43,Undirected,
2,44,Undirected,
2,45,Undirected,
2,70,Undirected,
2,78,Undirected,
2,90,Undirected,
2,134,Undirected,
2,135,Undirected,
2,143,Undirected,
2,157,Undirected,
3,4,Undirected,
3,10,Undirected,
3,12,Undirected,
3,14,Undirected,
3,15,Undirected,
3,18,Undirected,
3,20,Undirected,
3,27,Undirected,
3,28,Undirected,
3,52,Undirected,
3,59,Undirected,
3,61,Undirected,
3,62,Undirected,
3,63,Undirected,
3,65,Undirected,
3,68,Undirected,
3,70,Undirected,
3,71,Undirected,
3,77,Undirected,
3,78,Undirected,
3,79,Undirected,
3,80,Undirected,
3,82,Undirected,
3,83,Undirected,
3,84,Undirected,
3,90,Undirected,
3,91,Undirected,
3,94,Undirected,
3,95,Undirected,
3,96,Undirected,
3,97,Undirected,
3,101,Undirected,
3,102,Undirected,
3,103,Undirected,
3,107,Undirected,
3,109,Undirected,
3,110,Undirected,
3,114,Undirected,
3,119,Undirected,
3,120,Undirected,
3,121,Undirected,
3,122,Undirected,
3,124,Undirected,
3,125,Undirected,
3,127,Undirected,
3,129,Undirected,
3,131,Undirected,
3,132,Undirected,
3,137,Undirected,
3,141,Undirected,
3,158,Undirected,
4,10,Undirected,
4,12,Undirected,
4,14,Undirected,
4,15,Undirected,
4,16,Undirected,
4,18,Undirected,
4,20,Undirected,
4,27,Undirected,
4,28,Undirected,
4,29,Undirected,
4,30,Undirected,
4,38,Undirected,
4,42,Undirected,
4,46,Undirected,
4,50,Undirected,
4,51,Undirected,
4,52,Undirected,
4,56,Undirected,
4,59,Undirected,
4,61,Undirected,
