Source,Target,Type,timeset,Weight
1,2,Undirected,,1
1,3,Undirected,,1
1,4,Undirected,,1
1,5,Undirected,,1
1,6,Undirected,,1
1,7,Undirected,,1
1,8,Undirected,,1
1,10,Undirected,,1
1,12,Undirected,,1
1,13,Undirected,,1
1,14,Undirected,,1
1,18,Undirected,,1
1,20,Undirected,,1
1,21,Undirected,,1
1,23,Undirected,,1
1,24,Undirected,,1
1,25,Undirected,,1
1,30,Undirected,,1
1,31,Undirected,,1
1,32,Undirected,,1
1,33,Undirected,,1
1,34,Undirected,,1
1,35,Undirected,,1
1,36,Undirected,,1
1,37,Undirected,,1
1,38,Undirected,,1
1,40,Undirected,,1
1,41,Undirected,,1
1,42,Undirected,,1
1,43,Undirected,,1
1,44,Undirected,,1
1,50,Undirected,,1
1,51,Undirected,,1
1,53,Undirected,,1
1,54,Undirected,,1
1,63,Undirected,,1
1,64,Undirected,,1
1,65,Undirected,,1
1,74,Undirected,,1
1,75,Undirected,,1
1,80,Undirected,,1
1,82,Undirected,,1
1,83,Undirected,,1
1,90,Undirected,,1
1,91,Undirected,,1
1,95,Undirected,,1
1,100,Undirected,,1
1,101,Undirected,,1
1,102,Undirected,,1
1,103,Undirected,,1
1,104,Undirected,,1
1,106,Undirected,,1
1,108,Undirected,,1
1,109,Undirected,,1
1,111,Undirected,,1
1,113,Undirected,,1
1,114,Undirected,,1
1,117,Undirected,,1
1,126,Undirected,,1
1,127,Undirected,,1
1,132,Undirected,,1
1,133,Undirected,,1
1,137,Undirected,,1
1,138,Undirected,,1
1,139,Undirected,,1
1,141,Undirected,,1
1,144,Undirected,,1
1,147,Undirected,,1
1,148,Undirected,,1
1,151,Undirected,,1
1,152,Undirected,,1
1,153,Undirected,,1
1,154,Undirected,,1
1,155,Undirected,,1
1,156,Undirected,,1
1,157,Undirected,,1
1,158,Undirected,,1
1,159,Undirected,,1
1,161,Undirected,,1
1,163,Undirected,,1
2,3,Undirected,,1
2,4,Undirected,,1
2,5,Undirected,,1
2,6,Undirected,,1
2,7,Undirected,,1
2,8,Undirected,,1
2,10,Undirected,,1
2,12,Undirected,,1
2,13,Undirected,,1
2,14,Undirected,,1
2,18,Undirected,,1
2,20,Undirected,,1
2,23,Undirected,,1
2,24,Undirected,,1
2,28,Undirected,,1
2,29,Undirected,,1
