Source,Target,Type,timeset
1,2,Undirected,
1,5,Undirected,
1,6,Undirected,
1,7,Undirected,
1,9,Undirected,
1,10,Undirected,
1,11,Undirected,
1,25,Undirected,
1,39,Undirected,
1,107,Undirected,
1,109,Undirected,
1,146,Undirected,
1,147,Undirected,
1,148,Undirected,
1,150,Undirected,
1,155,Undirected,
1,157,Undirected,
1,158,Undirected,
1,160,Undirected,
1,164,Undirected,
2,5,Undirected,
2,6,Undirected,
2,7,Undirected,
2,8,Undirected,
2,9,Undirected,
2,10,Undirected,
2,11,Undirected,
2,12,Undirected,
2,31,Undirected,
2,90,Undirected,
2,95,Undirected,
2,141,Undirected,
2,147,Undirected,
2,148,Undirected,
2,155,Undirected,
2,159,Undirected,
2,160,Undirected,
2,164,Undirected,
3,4,Undirected,
3,13,Undirected,
3,17,Undirected,
3,78,Undirected,
3,80,Undirected,
3,82,Undirected,
3,84,Undirected,
3,98,Undirected,
3,138,Undirected,
3,148,Undirected,
4,8,Undirected,
4,125,Undirected,
5,6,Undirected,
5,7,Undirected,
5,11,Undirected,
5,25,Undirected,
5,39,Undirected,
5,99,Undirected,
5,109,Undirected,
5,146,Undirected,
5,147,Undirected,
5,148,Undirected,
5,150,Undirected,
5,155,Undirected,
5,157,Undirected,
5,164,Undirected,
6,8,Undirected,
6,9,Undirected,
6,10,Undirected,
6,11,Undirected,
6,12,Undirected,
6,42,Undirected,
6,54,Undirected,
6,77,Undirected,
6,110,Undirected,
6,147,Undirected,
6,148,Undirected,
6,155,Undirected,
6,156,Undirected,
6,159,Undirected,
6,160,Undirected,
6,164,Undirected,
7,8,Undirected,
7,9,Undirected,
7,11,Undirected,
7,25,Undirected,
7,35,Undirected,
7,37,Undirected,
7,38,Undirected,
7,39,Undirected,
7,43,Undirected,
7,53,Undirected,
7,55,Undirected,
7,76,Undirected,
7,144,Undirected,
7,146,Undirected,
7,147,Undirected,
7,148,Undirected,
7,149,Undirected,
7,150,Undirected,
7,154,Undirected,
7,157,Undirected,
7,158,Undirected,
8,9,Undirected,
8,10,Undirected,
8,11,Undirected,
8,12,Undirected,
8,14,Undirected,
8,54,Undirected,
8,55,Undirected,
8,77,Undirected,
8,97,Undirected,
8,104,Undirected,
8,147,Undirected,
8,148,Undirected,
8,155,Undirected,
8,156,Undirected,
8,159,Undirected,
9,10,Undirected,
9,11,Undirected,
9,12,Undirected,
9,41,Undirected,
9,95,Undirected,
9,147,Undirected,
9,155,Undirected,
9,156,Undirected,
9,158,Undirected,
9,159,Undirected,
9,160,Undirected,
10,11,Undirected,
10,12,Undirected,
10,31,Undirected,
10,36,Undirected,
10,38,Undirected,
10,40,Undirected,
10,95,Undirected,
10,147,Undirected,
10,148,Undirected,
10,149,Undirected,
10,153,Undirected,
10,155,Undirected,
10,159,Undirected,
11,12,Undirected,
11,31,Undirected,
11,33,Undirected,
11,34,Undirected,
11,35,Undirected,
11,37,Undirected,
11,38,Undirected,
11,39,Undirected,
11,40,Undirected,
11,78,Undirected,
11,95,Undirected,
11,107,Undirected,
11,147,Undirected,
11,148,Undirected,
11,149,Undirected,
11,150,Undirected,
11,153,Undirected,
11,154,Undirected,
11,155,Undirected,
11,160,Undirected,
12,23,Undirected,
12,42,Undirected,
12,54,Undirected,
12,77,Undirected,
12,92,Undirected,
12,110,Undirected,
12,147,Undirected,
12,155,Undirected,
12,156,Undirected,
12,159,Undirected,
12,160,Undirected,
13,14,Undirected,
13,17,Undirected,
13,33,Undirected,
13,34,Undirected,
13,35,Undirected,
13,37,Undirected,
13,50,Undirected,
13,51,Undirected,
13,64,Undirected,
13,73,Undirected,
13,76,Undirected,
13,78,Undirected,
13,79,Undirected,
13,80,Undirected,
13,81,Undirected,
13,83,Undirected,
13,115,Undirected,
13,137,Undirected,
13,138,Undirected,
13,139,Undirected,
14,17,Undirected,
14,33,Undirected,
14,34,Undirected,
14,35,Undirected,
14,50,Undirected,
14,51,Undirected,
14,55,Undirected,
14,76,Undirected,
14,78,Undirected,
14,79,Undirected,
14,80,Undirected,
14,81,Undirected,
14,137,Undirected,
14,138,Undirected,
14,139,Undirected,
14,147,Undirected,
14,151,Undirected,
15,16,Undirected,
15,17,Undirected,
15,18,Undirected,
15,20,Undirected,
15,21,Undirected,
15,25,Undirected,
15,27,Undirected,
15,31,Undirected,
15,43,Undirected,
15,60,Undirected,
15,61,Undirected,
15,62,Undirected,
15,63,Undirected,
15,68,Undirected,
15,69,Undirected,
15,82,Undirected,
15,83,Undirected,
15,87,Undirected,
